student_id,concept_id,concept_name,subject_id,difficulty,mastery,questions_correct,questions_total,accuracy,avg_response_time,practice_sessions,reassessment_flag,improvement,target_status
1,13,Integrals,1,Advanced,30.05,2,6,33.33,34.86,7,0,0.0,Critical
1,37,Object-Oriented Programming,3,Intermediate,57.31,3,6,50.0,47.52,2,0,0.0,Weak
1,29,Modern Physics,2,Advanced,47.48,4,6,66.67,48.58,3,0,0.0,Weak
1,36,Data Structures,3,Intermediate,42.79,2,6,33.33,42.96,5,0,0.0,Weak
1,9,Trigonometry,1,Intermediate,52.92,5,6,83.33,29.97,6,1,15.97,Weak
1,22,Work and Power,2,Intermediate,52.35,4,6,66.67,26.66,2,0,0.0,Weak
1,3,Linear Equations,1,Beginner,47.92,2,6,33.33,20.76,7,1,2.47,Weak
1,43,Artificial Intelligence Fundamentals,3,Advanced,38.88,1,6,16.67,29.61,0,0,0.0,Critical
1,4,Ratios and Proportions,1,Beginner,52.69,2,6,33.33,43.8,2,0,0.0,Weak
2,18,Forces,2,Beginner,35.93,2,6,33.33,30.79,3,1,20.0,Critical
2,21,Momentum,2,Intermediate,40.41,3,6,50.0,68.76,2,0,0.0,Weak
2,36,Data Structures,3,Intermediate,19.19,1,6,16.67,28.51,6,0,0.0,Critical
2,3,Linear Equations,1,Beginner,42.82,1,6,16.67,56.5,7,0,0.0,Weak
2,43,Artificial Intelligence Fundamentals,3,Advanced,6.14,0,6,0.0,29.94,0,1,29.04,Critical
2,35,Computer Systems Basics,3,Beginner,25.16,3,6,50.0,42.64,7,0,0.0,Critical
2,1,Number Systems,1,Beginner,24.0,2,6,33.33,39.29,5,0,0.0,Critical
2,39,Computer Networks,3,Intermediate,32.93,3,6,50.0,44.31,5,0,0.0,Critical
2,6,Quadratic Equations,1,Intermediate,36.22,2,6,33.33,35.37,3,1,22.59,Critical
2,11,Limits,1,Advanced,4.46,0,6,0.0,27.77,7,0,0.0,Critical
2,22,Work and Power,2,Intermediate,48.08,3,6,50.0,48.44,5,1,22.82,Weak
3,41,Algorithm Analysis,3,Advanced,15.19,1,6,16.67,48.05,4,1,16.2,Critical
3,33,Programming Fundamentals,3,Beginner,34.61,1,6,16.67,51.36,6,1,5.95,Critical
3,27,Electromagnetism,2,Advanced,6.92,0,6,0.0,61.55,3,0,0.0,Critical
3,19,Energy,2,Beginner,24.38,0,6,0.0,45.13,4,0,0.0,Critical
3,10,Probability,1,Intermediate,30.4,2,6,33.33,55.07,7,0,0.0,Critical
3,39,Computer Networks,3,Intermediate,17.68,1,6,16.67,51.07,6,0,0.0,Critical
3,24,Waves,2,Intermediate,19.81,0,6,0.0,57.58,7,0,0.0,Critical
3,9,Trigonometry,1,Intermediate,27.64,0,6,0.0,59.42,6,0,0.0,Critical
3,13,Integrals,1,Advanced,12.26,0,6,0.0,57.7,6,1,36.84,Critical
3,7,Functions,1,Intermediate,9.99,1,6,16.67,28.21,7,0,0.0,Critical
4,11,Limits,1,Advanced,56.02,3,6,50.0,39.12,0,1,-4.35,Weak
4,36,Data Structures,3,Intermediate,46.02,2,6,33.33,36.44,6,0,0.0,Weak
