subject_id,concept_id,concept_name,difficulty,prerequisites
1,1,Number Systems,Beginner,
1,2,Algebraic Expressions,Beginner,1
1,3,Linear Equations,Beginner,2
1,4,Ratios and Proportions,Beginner,1
1,5,Basic Geometry,Beginner,1
1,6,Quadratic Equations,Intermediate,3
1,7,Functions,Intermediate,3
1,8,Systems of Equations,Intermediate,3
1,9,Trigonometry,Intermediate,5
1,10,Probability,Intermediate,1
1,11,Limits,Advanced,7
1,12,Derivatives,Advanced,11
1,13,Integrals,Advanced,12
1,14,Linear Algebra,Advanced,8
1,15,Advanced Probability,Advanced,10
2,16,Measurement and Units,Beginner,
2,17,Motion,Beginner,16
2,18,Forces,Beginner,17
2,19,Energy,Beginner,18
2,20,Electricity Basics,Beginner,16
2,21,Momentum,Intermediate,18
2,22,Work and Power,Intermediate,19
2,23,Circular Motion,Intermediate,18
2,24,Waves,Intermediate,16
2,25,Electric Circuits,Intermediate,20
2,26,Thermodynamics,Advanced,19
2,27,Electromagnetism,Advanced,25
2,28,Optics,Advanced,24
2,29,Modern Physics,Advanced,26
2,30,Quantum Physics Basics,Advanced,29
3,31,Computational Thinking,Beginner,
3,32,Algorithms,Beginner,31
3,33,Programming Fundamentals,Beginner,31
3,34,Data Representation,Beginner,31
3,35,Computer Systems Basics,Beginner,31
3,36,Data Structures,Intermediate,"32,33"
3,37,Object-Oriented Programming,Intermediate,33
3,38,Database Fundamentals,Intermediate,33
3,39,Computer Networks,Intermediate,35
3,40,Operating Systems Basics,Intermediate,35
3,41,Algorithm Analysis,Advanced,36
3,42,Advanced Data Structures,Advanced,"36,41"
3,43,Artificial Intelligence Fundamentals,Advanced,"32,36"
3,44,Machine Learning Fundamentals,Advanced,43
3,45,Computer Architecture,Advanced,"35,40"
