subject_id,concept_id,concept_name,difficulty,question_type,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer
1,1,Number Systems,Beginner,Understanding,S1_C1_Understanding,Which statement correctly describes an integer?,An integer is any number written as a fraction.,An integer must have a decimal part.,An integer is always greater than zero.,"An integer is a whole number or its negative, including zero.",D
1,1,Number Systems,Beginner,Application,S1_C1_Application,A temperature is 5°C below zero. Which integer represents this temperature?,5,0,-5,5.0,C
1,1,Number Systems,Beginner,Reasoning,S1_C1_Reasoning,Which number is greater than -3 but less than 2?,-2,-5,3,4,A
1,1,Number Systems,Beginner,Problem Solving,S1_C1_Problem_Solving,A bank account changes from -20 dollars to 15 dollars. What is the total change in the account balance?,35 dollars,25 dollars,5 dollars,45 dollars,A
1,1,Number Systems,Beginner,Misconception Detection,S1_C1_Misconception_Detection,A student says: 'Every rational number must be an integer.' Which statement best evaluates the student's claim?,The claim is correct because rational numbers cannot contain fractions.,The claim is correct because every rational number is positive.,The claim is incorrect because some rational numbers are fractions that are not integers.,The claim is incorrect because rational numbers are always irrational.,C
1,1,Number Systems,Beginner,Transfer,S1_C1_Transfer,"A submarine is 12 meters below sea level, while a bird is 12 meters above sea level. Which pair of integers represents their positions?",12 and 12,-12 and 12,12 and -12,-12 and -12,B
1,2,Algebraic Expressions,Beginner,Understanding,S1_C2_Understanding,"In the expression 3x + 5, what is the coefficient of x?",x,5,3,8,C
1,2,Algebraic Expressions,Beginner,Application,S1_C2_Application,"If x = 4, what is the value of 2x + 3?",11,9,8,14,A
1,2,Algebraic Expressions,Beginner,Reasoning,S1_C2_Reasoning,Which expression is equivalent to 4x + 2x?,6x,8x,6x²,4x² + 2,A
1,2,Algebraic Expressions,Beginner,Problem Solving,S1_C2_Problem_Solving,A rectangle has a length of x + 3 meters and a width of 2 meters. Which expression represents its perimeter?,x + 5,2x + 10,2x + 6,x + 10,B
1,2,Algebraic Expressions,Beginner,Misconception Detection,S1_C2_Misconception_Detection,A student simplifies 3x + 4 as 7x. What is the error in the student's reasoning?,The student multiplied the coefficients incorrectly.,The student added terms that are not like terms.,The student forgot that x is always zero.,The student changed a variable into a constant.,B
1,2,Algebraic Expressions,Beginner,Transfer,S1_C2_Transfer,A movie ticket costs x dollars and a snack costs 4 dollars. Which expression represents the total cost of 3 tickets and one snack?,4x + 3,x + 12,3(x + 4),3x + 4,D
