priority_rank,concept_id,concept_name,mastery,gap_level,gap_score,prerequisite_gaps,blocked_by_prerequisite,gap_severity,base_priority,blocking_bonus,priority_score,priority_level
1,3,Linear Equations,50.000000000000014,Weak,49.999999999999986,[2],True,0.75,0.7499999999999999,0.1,0.8499999999999999,High
2,18,Forces,50.000000000000014,Weak,49.999999999999986,[17],True,0.75,0.7499999999999999,0.1,0.8499999999999999,High
3,33,Programming Fundamentals,50.000000000000014,Weak,49.999999999999986,[31],True,0.75,0.7499999999999999,0.1,0.8499999999999999,High
4,35,Computer Systems Basics,50.000000000000014,Weak,49.999999999999986,[31],True,0.75,0.7499999999999999,0.1,0.8499999999999999,High
5,36,Data Structures,50.000000000000014,Weak,49.999999999999986,"[32, 33]",True,0.75,0.7499999999999999,0.1,0.8499999999999999,High
6,1,Number Systems,50.000000000000014,Weak,49.999999999999986,[],False,0.75,0.825,0.0,0.825,High
7,31,Computational Thinking,50.000000000000014,Weak,49.999999999999986,[],False,0.75,0.825,0.0,0.825,High
8,19,Energy,50.000000000000014,Weak,49.999999999999986,[18],True,0.75,0.6749999999999999,0.1,0.7749999999999999,Medium
9,32,Algorithms,50.000000000000014,Weak,49.999999999999986,[31],True,0.75,0.6749999999999999,0.1,0.7749999999999999,Medium
10,16,Measurement and Units,50.000000000000014,Weak,49.999999999999986,[],False,0.75,0.7499999999999999,0.0,0.7499999999999999,Medium
11,2,Algebraic Expressions,50.000000000000014,Weak,49.999999999999986,[1],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
12,5,Basic Geometry,50.000000000000014,Weak,49.999999999999986,[1],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
13,7,Functions,50.000000000000014,Weak,49.999999999999986,[3],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
14,8,Systems of Equations,50.000000000000014,Weak,49.999999999999986,[3],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
15,10,Probability,50.000000000000014,Weak,49.999999999999986,[1],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
16,11,Limits,50.000000000000014,Weak,49.999999999999986,[7],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
17,12,Derivatives,50.000000000000014,Weak,49.999999999999986,[11],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
18,17,Motion,50.000000000000014,Weak,49.999999999999986,[16],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
19,20,Electricity Basics,50.000000000000014,Weak,49.999999999999986,[16],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
